ac,尖
aem haem（o） haemat（o）em hem（o）hemat（o）,血
agog,引导
agr（o）,田地
alg,痛
all（o）,异，另
am，em,拿
andr（o）,人，男人，雄性
anth,花
archa（e）,古
arter（i）,动脉
ard，ars,烧
arthr（o）,关节
aster，astr（o）,星
aur（i）,耳
bar,棍，棒，杠
barb,胡须
bar（o）,重，压
beaut,美
bi（o）,生物，生命
blanc,白
blast（o）,胚，芽
brut,兽
caco,恶，不良
calc,石，石灰
calor，cale,热
camp,原野，旷野
cand，cend，cens,白，白热，火光
capit,头
capt,抓，拿
cardi,心
carn（i）,肉
carp（o）,果实
cart，chart,纸
cav,洞，空
caval，chival,马
celer,快，速
cend，cens,火光
cent，cant,发声，唱
cent（i）,百，百分之一
centr,中心
cephal,头
cert,确实，确信
char，car,车
chiro,手
chlor（o）,氯，绿
chrom（o），chromat（o）,色
chrys,金
cip,拿，抓，握
clin,床
commod,便利，方便
corn,角
cours，cour，curs，cur,跑
crani（o）,头颅，头盖
cre，cresc,增长，生长，产生
cryo,冷，冻
crypt（o）,隐，秘密
culp,罪
cup,抓，拿
curv,弯曲
cyan（o）,蓝，青，氰
dactyl（o）,指，趾
damn，demn,惩罚，伤害
dendr（o）,树
dens,密，浓
derm，dermat,皮
dign,尊敬的
divid，divis,分
dol,悲
domin,作主，统治
dors,背后
dur,持久
dyn，dynam,力
em，am,拿
emper，imper,命令
enter,肠
entom（o）,昆虫
erg,工作
ethn（o）,人种
exter，extr,外
fabric,制造
fac，fic,面
fall，fals,错，假
fam,名声
fan，phan,幻影，幻象
fare,行
fasc,捆，束
feas,做，实行
febr（i）,热
fect,做
fem，femin,妇女
fend，fens,打击
ferr（o）,铁
fibr,纤维
fic,做
fid，fiss,裂
fil,子女
fin,末尾
fin,界限
firm,结实，坚定
fisc,国库
fix,固定
flam,火焰，燃烧
flor（i），flour,花
foli,叶
fort,强
frater,兄弟
front,前额，面部，前面
frug，fruct,果实
gastr（o）,胃，腹
gen,生，产生，生殖
geo,地
glaci,冰
gloss，glot,舌，语言
gnor，gnos,知
gon,角
grat,喜悦，感激
gymn（o）,裸
gyr（o）,旋转
her,继承
hedron…,面体
hedral…,面体的
heli（o）,太阳
hetero,异
hipp（o）,马
holo,全
homo,同
hydr（o）,水
ichthy,鱼
hor,时间，小时
horr,怕
hum,地
hum,湿
hypn（o）,睡眠
ide（o）,意，观念
ident,相同
im，imit,相似
iod,碘
ir，irr,怒
iso,等，同
isol,岛
iter,再
journ,日
labi,唇
lachrym,泪
lact,乳
lapid,石
laps,滑，落
laryng（o）,咽喉
lat,持，拿，带
latr（y）,崇拜
later,崇拜者
lav,洗
lax,松弛
lect,言
leuc（o）,白
liber，libr,天平，秤，称
lic,准许
lig,束，绑，结
liqu,液体
lith，lite,石
lud，lus,表演，行动，做
lustr,光
lys，lyt,分，解，溶，散
macro,长，大
maj,大
mamm,乳房
mancy,占卜
mand,命令
medic，med,医治
men，min,威胁
melan,黑
merc,商
mes（o）,中间
metr（y）,测量（学） 
meter,测量器，计，表
micro,小，微
miser,可怜，悲惨
mix,混合
mne，mnemon,记忆
mod,式样，模式
monstr,显示，显现
morph,形
mount,登上，上升
mund,世界
myst,神秘
nat,浮游
necr（o）,死尸，死
neg,否认，否定
neur（o）,神经
neutr,中
noct（i）,夜
nom（y）,学，术，法，治
not,记号，标记
not,知道
nounc，nunc,说，告
nour，nurs,喂养，营养
ocul,眼
od,路
odont（o）,牙
ole（o）,油
olig,少
oo,卵
ophi（o）,蛇
ophthalm,眼
opt,选
opt，ops，opi,视，光
optim,最好的
or,说
oram,观看，景
orb,圆形
ornith,鸟
oss（e）,骨
oste（o）,骨
ot（o）,耳
ov（i）,卵
pale（o）,古，旧
pan,面包
pand，pans,展开
par,相等，准备，显现，出现
part,分，分开
pass,感情
path（y）,感情
pati,忍受，遭受
pen，penn，pinn,羽毛
peps，pept,消化
peri,试验
phem，phet,言
phor,带，持有，具有
phot（o）,光
phras,说，语言
phyll（o）,叶
phyt（o）,植物
pisc,鱼
plan,平
ple，plet,全，满
plod，plos,发爆裂声
plor,哀叫，哀叹
plur，plus,多
plut（o）,财
pol（y）,卖
porc，pork,猪
port,持，拿，运
pot,饮，能，能力
potam,河
pract，prag,做，实行
prehend,抓住
press,压
prin,第一
pris,抓，捕
priv,个人，私自
proto,前，第一，原始
proxim,近
psych（o）,心理，精神
pter,翅，翼
publ,人民
puls,推动，冲动
pun，pen,罚
purg,清洁，纯洁
put,思考，计算
pyr（o）,火
quest，quis，quir,问，求，寻
qui,静
rap，rapt,夺
reg,规则，统治
rhin（o）,鼻
rhiz（o）,根
riv,河，河岸
rrhag，rrhea,（过多）流出
sacr,神圣
salt，sult，sail,跳
salv,救
san,健康
sanct,神圣
sangui（n）,血
sarc（o）,肉
scler（o）,硬
scop,观察，镜
scrib，script,写
sed，sess,坐
sembl,相似，类似
sequ,跟随，继
seri,系列，连
serv,做奴仆，保护，保存，注视
sign,符号，标记
Sino，Sinic（o）,中国
sinu,弯曲
sit（o）,食物
soci,联合，结合
sol,安慰
somn,睡眠
sorb，sorpt,吸
spher（e）,球，圈，层
spic,看
spond，spons,许诺，答应
st,立
stat,立
stereo,立体
stom，stomat（o）,口
stor,存放
strat,层
strict,拉（紧），捆（紧）
struct,建造
suad，suas,劝
sum,总
sur,确信，确实，可靠
tard,缓慢
techn（o）,技术，工艺
tenu,薄
terg，ters,擦，除掉
term,限定，界线
terr,怕，恐，吓
test,证据，证明
therm（o）,热，温
tim,怕
tir,拉，引
toler,忍受
tom（y）,切，割
top,地方
tox,毒
trem,颤抖，震颤
tribut,给
trop,转
turb,骚乱，骚扰
ultim,最后，末
und，ound,波浪
ur,尿
urg（y）,制作
vacc,牛
van,前，先
veget,植物
velop,包，裹，卷
vend,卖
venge,报仇
vent,风
verb,字，词，言
verm（i）,蠕虫
verd，vir,绿
vibr,振动
vigil,醒着
vigor,精力
vil,卑贱，邪恶
vin,葡萄，酒
viol,力，暴力
vor,吃
voy,路
xanth,黄
xer（o）,干燥
xyl（o）,木
zo（o）,动物