-ability,【名词后缀】由-able＋-ity而成，构成抽象名词，表示“可…性”、“易…性”、“可…”
-able,【形容词后缀】表示“可…的”、“能…的”，或具有某种性质的
-ably,【副词后缀】由-able转成，表示“可…地”、“…地”
-aceous,【形容词后缀】表示有…性质的、属于…的、如…的、具有…的
-acious,【形容词后缀】表示多…的、有…性质的、属于…的、具有…的
-acity,【名词后缀】构成抽象名词，表示性质、状态、情况，与形容词后缀-acious相对应
-acle,【名词后缀】构成实物名词及抽象名词
-acy,【名词后缀】构成抽象名词，表示性质、状态，行为、职权等
-ade,【名词后缀】1. 表示行为、状态，事物2. 表示物（由某种材料制成者或按某种形状制成者）3. 表示参加某种行动的个人或集体
-age,【名词后缀】1. 表示集合名词、总称2. 表示场所、地点3. 表示费用4. 表示行为或行为的结果5. 表示状态、情况、身份及其他6. 表示物
-ain,【名词后缀】表示人
-aire,【名词后缀】表示人
-al,1.【形容词后缀】表示属于…的、具有…性质的、如…的2. 【名词后缀】1)构成抽象名词，表示行为、状况、事情2)表示人3)表示物
-ality,【名词后缀】复合后缀，由-al＋-ity而成，构成抽象名词，表示状态、情况、性质、“…性”
-ally,【副词后缀】复合后缀，由-al＋-ly而成，表示方式、程度、状态、“…地”
-an,1.【形容词后缀】表示属于…的、属于某地方的。带此后缀的形容词有的兼作名词，表示某地的人2.【名词后缀】表示人
-ance,【名词后缀】构成抽象名词，表示状态、情况、性质、行为，与-ancy同。许多词具有-ance与-ancy两种后缀形式
-ancy,【名词后缀】构成抽象名词，表示状态、情况、性质、行为，与-ance同。许多词具有-ance与-ancy两种后缀形式
-aneity,【名词后缀】构成抽象名词，表示性质、状态、情况，与-aneous相对应
-aneous,【形容词后缀】表示有…性质的、属于…的，一部分与-aneity相对应，参见上条
-ant,1.【形容词后缀】大部分与-ance或-ancy相对应，表示属于…的、具有…性质的2.【名词后缀】1)表示人2)表示物
-ar,1.【形容词后缀】表示有…性质的、属于…的、如…的2.【名词后缀】1)表示人2)表示物及其他
-ard,【名词后缀】表示人（大多含有贬义）
-arian,1.表示人2.带此后缀的名词有的可兼作形容词，表示…的、…主义的
-arium,【名词后缀】表示场所、地点、…馆、…室、…院、…所等
-ary,1.【形容词后缀】表示有…性质的、属于…的、关于…的2.【名词后缀】1)表示场所、地点2)表示人3)表示物及抽象名词
-ast,【名词后缀】表示人
-aster,【名词后缀】表示人（卑称）
-ate,1.【动词后缀】表示做、造成、使之成…、做…事等意义2.【形容词后缀】表示有…性质的、如…形状的、具有…的3.【名词后缀】表示人 表示职位、职权、总称等 构成化学名词，大多数表示由酸而成的盐类 
-atic,【形容词后缀】表示有…性质的、属于…的、具有…的
-ation,【名词后缀】1.表示行为、情况、状态2.表示行为的过程、结果，或由行为而产生的事物
-ative,表示有…性质的、与…有关的、属于…的、有…倾向的、有…作用的（带此后缀的词有的可兼作名词）
-ator,【名词后缀】表示做…工作的人或物
-atory,1.【形容词后缀】表示有…性质的、属于…的、具有…的（带有此后缀的形容词有的可兼作名词）2.【名词后缀】表示场所、地点
-ce,【副词后缀】表示“…次”、“自…”、“从…”
-cy,【名词后缀】表示性质、状态、职权、官衔
-dom,【名词后缀】1.表示情况、状态、性质、身份2.表示领域、“…界”、集体、总称
-ed,【形容词后缀】1.加在名词之后，表示“有…的”、“如…的”、“…的”2.加在动词之后，表示“已…的”、“被…的”、“…了的”
-ee,【名词后缀】1.表示人2.表示物
-eer,【名词后缀】表示人（专做某种工作或从事某种职业的人）
-el,【名词后缀】1.表示小2.表示人、集体3.表示物4.表示场所、地点
-en,1.【动词后缀】表示做、使成为…、使变成2.【形容词后缀】表示由…制成的、含有…质的、似…的3.【名词后缀】表示人 表示小称
-ence,【名词后缀】与形容词后缀-ent相对应（如difference—different），构成抽象名词，表示性质、状态、行为，义同-ency。有些词具有-ence和-ency两种后缀形式（如innocence=innocency）
-ency,【名词后缀】与形容词后缀-ent相对应（如urgency—urgent），构成抽象名词，表示性质、状态、行为，义同-ence。有些词具有-ency与-ence两种后缀形式（如persistency=persistence）
-end,【名词后缀】构成抽象名词，大多见于数学术语，亦作-and
-enne,【名词后缀】表示女性
-ent,1.【形容词后缀】与名词后缀-ence或-ency相对应，表示具有…性质的、关于…的2.【名词后缀】表示人 表示物（…剂、…药）
-eous,【形容词后缀】表示有…性质的、关于…的、如…的、具有…的，与-ous同
-er,1.【名词后缀】表示人 表示物 加在方位词上表示“…风”2.【动词后缀】表示反复动作、连续动作及拟声动作3.【形容词及副词后缀】表示比较级“更…”
-ern,1.【形容词后缀】加在方位词上表示“…方向的”2.【名词后缀】表示场所、地点
-ery,【名词后缀】1.表示场所、地点、工作处2.表示行为、状态、情况、性质3.表示行业、法、术、身份等
-esce,【动词后缀】表示动作开始或正在进行。它的对应名词后缀为-escence或-escency，它的对应形容词后缀为-escent
-escence,【名词后缀】构成抽象名词，表示开始、正在、逐渐形成某种状态、情况或性质，略…，似…，它的对应形容词后缀为-escent，亦作-escency。有些词具有-escence和-escency两种后缀形式
-escent,【形容词后缀】表示开始、正在、逐渐成为某种状态的，似…的，略…的
-ese,1.【形容词兼名词后缀】表示某国的、某地的；某国或某地的人及语言2.【名词后缀】表示某派（或某种）的文体、文风或语言
-esque,表示如…的、…式的、…派的、…风的
-ess,【名词后缀】表示女性（人）或雌性（动物）
-est,【形容词及副词后缀】表示最高级“最…”
-et,【名词后缀】表示小
-eth,【形容词兼名词后缀】表示（a）第…十（b）…十分之一
-etic,【形容词后缀】表示属于…的、有…性质的、关于…的
-ette,【名词后缀】1.表示小2.表示女性3.在商业上表示“仿造物”、“代用品”4.其他
-ety,【名词后缀】构成抽象名词，表示性质、状态、情况
-eur,【名词后缀】来自法语，表示人
-faction,【名词后缀】构成抽象名词，表示情况、状态、行为或行为的结果，与动词后缀-fy相对应
-fic,【形容词后缀】表示“致…的”、“令…的”、“产生…的”，或表示具有某种性质的（亦作-ific）
-fication,【名词后缀】构成抽象名词，表示“…化”、“做…”、“使成为…”等意义，与动词后缀-fy相对应
-fier,【名词后缀】由-fy+-er而成，表示“做…的人或物”、“使成…的人或物”
-fold,【形容词及副词后缀】表示…倍、…重
-form,【形容词后缀】表示有…形状的、似…形态的
-ful,1.【名词后缀】加在名词之后，表示充满时的量2.【形容词后缀】表示富有…的、充满…的、具有…性质的、易于…的、可…的
-fy,【动词后缀】表示“…化”、“使成为…”、“变成…”、“做…”。它的对应名词后缀为-faction或-fication
-hood,【名词后缀】构成抽象名词，表示时期、情况、状态、性质、身份、资格等
-i,【形容词兼名词后缀】表示属于某国的或某地区的，兼表某国的或某地区的人或语言
-ia,【名词后缀】表示情况、状态、总称及其他
-ial,【形容词后缀】表示属于…的、具有…的、有…性质的
-ian,1.【形容词后缀】表示属于某国的、某地的、某人的或某宗教的（可兼表示人或语言）2.【名词后缀】表示某种职业、地位或特征的人
-ibility,【名词后缀】由ible+-ity而成，构成抽象名词，表示“可…性”、“易…性”、“…性”、“可…”
-ible,【形容词后缀】表示“可…的”、“能…的”、“易…的”或具有某种性质的
-ibly,【副词后缀】由形容词后缀-ible转成，表示“可…地”、“…地”
-ic,1.【形容词后缀】表示“…的”2.【名词后缀】表示人 表示“…学”、“…术”及其他抽象名词
-ical,【形容词后缀】由-ic+-al而成，表示“…的”
-ice,【名词后缀】1.构成抽象名词，表示行为、情况、性质2.表示人
-ician,【名词后缀】表示精于某种学术的人、专家、能手或从事某种职业的人
-icity,【名词后缀】大多数由-ic+-ity而成，构成抽象名词，表示性质、情况、状态
-ics,【名词后缀】表示“…学”、“…术”
-id,【形容词后缀】表示具有…性质的、如…的、含有…的
-ie,【名词后缀】1.表示小称及爱称2.表示与…有关的人或物
-ier,【名词后缀】1.表示人（专做某种工作或从事某种职业的人）2.表示物
-ile,1.【形容词后缀】表示属于…的、有…性质的、易于…的，可…的2.【名词后缀】表示物
-ility,【名词后缀】由-il（e）+-ity而成，表示性质、状态、情况
-ine,1.【形容词后缀】表示属于…的、具有…的、如…的、有…性质的2.【名词后缀】表示抽象名词 表示人（多数表示女性）表示药物名称及化学名词
-ing,1.【名词后缀】构成抽象名词，表示行为、状态、情况及其他 表示…行业、…学、…术、…法 表示总称及材料（与…有关之物，制…所用的材料） 表示某种行为的产物、为某种行为而用之物、与某种行为有关之物、与某种事物有关之物 2.【形容词后缀】表示“…的”、“正在…的”、“…着的”、“使…的” 3.【构成介词】
-ion,【名词后缀】1.构成抽象名词，表示行为、行为的过程或结果、情况、状态2.表示物
-ior,1.【名词后缀】表示人2.【形容词后缀】表示较…的、属于…的
-ious,【形容词后缀】表示属于…的、有…性质的、…的，同-ous
-ise,【动词后缀】同-ize，许多词具有-ise与-ize两种后缀形式
-ish,1.【形容词后缀】加在名词之后，表示如…的、似…的、有…性质的 加在形容词之后，表示含有某种程度的、略…的、稍…的 表示某国的或某民族的，兼表某国的语言 2.【动词后缀】表示做…、致使…、造成…、成为
-ism,【名词后缀】1.表示“…主义”2.表示宗教3.表示语言、语风4.表示风格、特征5.表示行为、现象6.表示“…学”、“…术”、“…论”、“…法”7.表示学术、文艺上的“…派”8.表示某种特性9.表示情况、状态10.表示制度11.表示疾病名称12.其他
-ist,1.【名词后缀】表示某种主义者或某种信仰者 表示从事某种职业的人、从事某种研究的人、与某事物有关的人 2.【形容词后缀】表示…主义的
-ister,【名词后缀】表示人
-istic,【形容词后缀】复合后缀，由-ist+-ic而成，表示关于…的、属于…的、有…性质的、…主义的、…论的（参见-istical）
-istical,【形容词后缀】三合后缀，由-ist+-ic+-al而成，表示“…的”。有些词兼有-istic和-istical两种后缀形式
-it,【名词后缀】1.表示人2.表示抽象名词
-ite,1.【名词后缀】表示人2.【形容词后缀】表示具有…性质的3.【动词后缀】表示做…、作成…
-ition,【名词后缀】1.表示行为、行为的过程或结果、由行为而产生的事物2.表示情况、状态
-itious,【形容词后缀】表示有…性质的、属于…的、具有…的，意义与-ous同
-itive,【形容词后缀】表示“…的”，意义同-ive
-itor,【名词后缀】表示人
-itude,【名词后缀】构成抽象名词，表示情况、性质、状态、事物
-ity,【名词后缀】构成抽象名词，表示性质、情况、状态及其他，与-ty同
-ive,1.【形容词后缀】表示有…性质的、有…作用的、有…倾向的、属于…的2.【名词后缀】表示人 表示物 构成抽象名词
-ivity,【名词后缀】复合后缀，由-iv（e）+-ity而成，构成抽象名词，表示情况、状态、“…性”、“…力”
-ization,【名词后缀】复合后缀，由-iz（e）+-ation而成，表示行为的过程或结果、“…化”，与动词后缀-ize相对应
-ize,【动词后缀】表示“…化”、照…样子做、按…方式处理，变成…状态、使成为…，与名词后缀-ization相对应
-kin,【名词后缀】表示小
-le,1.【动词后缀】表示反复、连续及拟声动作 将形容词或名词变成动词 2.【名词后缀】表示做某种动作时所使用的东西
-less,【形容词后缀】表示“无…的”、“不…的”
-let,【名词后缀】表示小
-like,【形容词后缀】表示如…的、有…性质的
-ling,1.【名词后缀】表示小 表示与某种事物（或情况）有关的人或动物、具有某种性质的人或动物 2.【形容词及副词后缀】表示状态
-logical,【形容词后缀】表示“…学的”，由-log（y）+-ic+-al而成
-logist,【名词后缀】偶作-loger 表示“…学家”、“…研究专家”，由-log（y）+-ist而成
-logy,【名词后缀】亦作-ology 表示“…学”、“…研究”、“…论”、“…法”，与-logical，-logist相对应
-ly,1.【形容词后缀】加在名词之后，表示如…的、有…特征的、属于…的 加在时间名词之后，表示“每…的”、“每…时间一次的”；这类词有的可兼作名词，表示报刊 2.【副词后缀】加在时间名词之后，表示“每…地”、“每…时间一次地” 加在形容词之后，构成副词，表示状态、程度、方式、“…地”
-ment,【名词后缀】1.表示行为、行为的过程或结果 2.表示物 3.表示组织、机构
-most,【形容词后缀】表示最…的
-ness,【名词后缀】加在形容词之后，构成抽象名词，表示性质、情况、状态
-nik,【名词后缀】表示…的人、…迷
-o,【名词后缀】大多数来自意大利语 1.表示音乐术语及乐器名称2.表示人3.表示物4.表示抽象名词及其他
-on,【名词后缀】1.表示人2.表示物3.构成物理学名词，表示物质结构成分，“…子”
-oon,【名词后缀】1.表示物2.表示人
-or,【名词后缀】1.表示人2.表示物
-orium,【名词后缀】表示场所、地点
-ory,1.【形容词后缀】表示有…性质的、属于…的、与…有关的2.【名词后缀】表示场所、地点 表示物
-ose,【形容词后缀】表示“…的”
-osity,【名词后缀】构成抽象名词，表示性质、状态、情况，与形容词后缀-ous与-ose相对应
-ot,【名词后缀】1.表示人2.表示物
-ous,【形容词后缀】表示有…性质的、属于…的、如…的、有…的、多…的
-proof,【形容词后缀】表示防…的、不透…的
-ress,【名词后缀】表示女性，与-ess同
-rix,【名词后缀】表示女性（亦作-trix）
-ry,【名词后缀】1. 表示行为、状态、情况、性质2. 表示…学、…术、…行业3. 表示集合名词（总称）4. 表示场所、地点、工作处
-s,【副词后缀】表示时间、地点、方式、状态
-ship,【名词后缀】1.表示情况、状态、性质、关系2.表示身份、职位、资格、权限3.表示技艺、技能、…法、…术
-sion,【名词后缀】表示行为、行为的过程或结果、情况、性质，与-ion同。它所构成的名词大多由以-d，-de，-t为结尾的动词派生而来（如：expand→expansion， decide→decision，convert→conversion）
-some,【形容词后缀】表示充满…的、易于…的、产生…的、有…倾向的、具有…的、令…的
-ster,【名词后缀】表示人
-th,【名词后缀】构成抽象名词，表示行为、性质、状态、情况
-tic,【形容词后缀】表示属于…的、有…性质的、与…有关的，与-ic同
-tion,【名词后缀】构成抽象名词，表示行为、行为的过程或结果、状态、情况，与-ion同
-ture,【名词后缀】亦作-ature和-iture 表示行为、行为的结果以及与行为有关之物
-ty,构成抽象名词，表示性质、情况、状态、权限
-ual,【形容词后缀】表示“…的”，与-al同
-ular,【形容词后缀】表示似…形状的、有…性质的、属于…的
-ule,【名词后缀】表示小
-ulous,【形容词后缀】表示易于…的、多…的、如…形状的、有…性质的、属于…的，同-ous
-um,【名词后缀】表示场所、实物及抽象名词
-uous,【形容词后缀】表示有…性质的、属于…的、有…的，同-ous
-ure,【名词后缀】构成抽象名词，表示行为、行为的结果、状态、情况
-ward,【形容词及副词后缀】表示“向…的”、“向…”、“朝…”
-wards,【副词后缀】表示“向…”、“朝…”
-ways,【副词后缀】有的兼作形容词后缀 表示方向、方式、状态，常与-wise通用
-wise,【副词后缀】有的兼作形容词后缀1.常与-ways通用，表示方向、方式、状态2.也有不与-ways通用者
-y,1.【形容词后缀】表示多…的、有…的、如…的、属于…的（大多数加在单音节名词之后）2.【名词后缀】构成抽象名词，表示性质、状态、情况、行为 表示人或物 
-yer,【名词后缀】表示人
